site_id,closest_gage,gage_riv_dist_m
412BH1Axx,11095500,5597.124606320161
412BH1Bxx,11095500,5792.369607070854
412BH1Cxx,11096500,6003.246682694989
412BH4Axx,11098000,2459.8683452605032
412BH4Bxx,11098000,2616.4585455834736
412BH4Cxx,11098000,2852.1107074569195
412BLDPRK,11098500,6611.016458494326
412CE0104,11097500,1392.9002472308002
412CE0232,11092450,1184.9843974107657
412CE0616,11092450,3908.644638372472
412DGPLON,11103000,870.0763733973106
412HANSLK,11097000,1936.285806690168
412HOLPRK,11097500,4698.962737781681
412JFORPK,11102500,1569.7168765683023
412LAR007,11098500,5063.927502935635
412LAR009,11097000,39671.99119739955
412LAR013,11095500,2474.867717990383
412LAR015,11101250,5889.393538935613
412LAR018,11098000,45786.61172247599
412LAR023,11103000,3711.930298430545
412LAR025,11096500,9337.793942303928
412LAR031,11102300,2394.2864132153986
412LARBLL,11092450,4616.225812166831
412LARCMP,11103000,2692.059006446962
412LARETY,11103000,7666.946512053431
412LARRHO,11098500,1565.6838376149144
412LARSCO,11097500,769.8404791240682
412LARTJA,11092450,8591.339204649486
412LARVGO,11097500,10566.90231649296
412LARWxx,11103000,2648.8377078686744
412LBH004,11103000,7224.082697969827
412LEGGLK,11102000,1874.3367537147976
412LINPRK,11097500,1505.9937773974816
412M08608,11092450,4050.301372362694
412M08610,11100000,1402.845419780147
412M08622,11100000,32986.23704547919
412M08627,11103000,3711.930298430545
412M08630,11101500,3593.309996664445
412M08638,11098000,2086.8990767109385
412MGJSLK,11098500,22679.649472003643
412PECPRK,11101250,7573.711952805493
412PS0020,11101500,4576.397468680778
412PS0040,11097000,36082.75076556388
412RHWNRD,11101500,268.21056113508666
412S00520,11095500,1384.822217301047
412S00924,11098000,374.35092666532
412S01096,11095500,3106.4835495833136
412S01544,11095500,2237.381781961161
412S04204,11100000,1690.207524873711
412SEPLLK,11092450,1274.7705559368937
412ST0115,11098500,6611.016458494326
412ST0141,11095500,1396.6214930473116
412ST0546,11097000,1423.8238589825155
412ST0562,11097500,4698.962737781681
412ST0676,11103000,7224.082697969827
412ST0677,11103000,4024.262801892134
412ST0689,11092450,3452.528718202099
412ST0781,11102000,1410.506881307924
412ST0784,11097500,1392.9002472308002
412ST0812,11103000,7666.946512053431
412ST0817,11103000,2648.8377078686744
412ST0818,11097500,6626.27184551014
412ST0819,11092450,1429.4234153384896
412ST1143,11101250,6966.147736658968
412SUP100,11092450,4730.429867561528
412WE0552,11098000,3152.665754973098
412WE0563,11094000,15262.542027394622
412WE0896,11095500,4560.441787163873
4130_B03,11088000,14783.745682392742
4136_B03,11120510,5427.695597663316
4140_B03,11023000,29403.45047632172
4142_B03,11103000,5074.848377216649
4143_B03,11119500,8065.9384197893005
4149_B03,11103500,6804.769410964004
4156_B03,11023000,42580.42971032832
4158_B03,11046250,9333.884715989032
4165_B03,11104000,3795.9825037061287
4168_B03,11048600,1187.7134769462737
4174_B03,11103000,4024.262801892134
4176_B03,11106550,9068.07903817717
4177_B03,11048600,10715.04807218624
4181_B03,11103500,28240.84884346603
4182_B03,11088000,15594.883618893604
4183_B03,11120510,4664.574881969138
4190,11088000,9049.473986516605
4190_B03,11046250,6407.8028584568565
4193_B03,11048600,21673.55814946403
4194_B03,11088000,7417.813836320784
4197_B03,11105510,1074.0657670301339
4200_B03,11042000,8731.547474496434
4204_B03,11023000,9600.461555358383
4207_B03,11119750,6413.7450546331365
4208_B03,11046250,7927.229876446447
4213_B03,11103500,4552.8551640735
