event_id,start_date,end_date,flow_centroid_date,peak_flow_date,first_no_flow_date,no_flow_duration_days,flow_duration_days,no_flow_prop,flashiness,peak2zero_days,centoid2zero_days,recession,site
1,2014-02-28,2015-03-01,2014-03-12,2014-03-01,2014-04-02,327,40,0.8910081743869209,0.06954915003695493,32,21,0.031241002015548518,903NP9SLR
2,2015-03-01,2016-01-05,2015-03-09,2015-03-02,2015-03-24,286,25,0.9196141479099679,0.19389260983085477,22,15,0.04542836949977751,903NP9SLR
1,2015-02-23,2015-05-17,2015-03-18,2015-03-07,2015-04-12,32,52,0.38095238095238093,0.08682160306351512,36,25,0.026764126027601087,903SLFRCx
2,2015-05-17,2016-01-05,2015-05-27,2015-05-24,2015-05-28,219,15,0.9358974358974359,0.2694990488268865,4,1,0.17266488115165718,903SLFRCx
3,2016-01-05,2016-12-16,2016-03-01,2016-01-06,2016-05-05,217,130,0.6253602305475504,0.11332013739302557,120,65,0.0083026447941078,903SLFRCx
1,2015-04-08,2016-01-06,2015-05-21,2015-05-15,2015-06-22,195,79,0.7116788321167883,0.036494012123601594,38,32,0.02221379073363496,903WE0798
2,2016-01-06,2016-12-16,2016-03-24,2016-01-06,2016-06-23,174,172,0.5028901734104047,0.028974871965208527,169,91,0.005872088905486411,903WE0798
3,2016-12-16,2017-10-13,2017-03-16,2017-02-28,2017-07-09,93,209,0.3079470198675497,0.061785693303989045,131,115,0.007633587786259542,903WE0798
1,2015-04-08,2016-01-06,2015-05-07,2015-05-15,2015-06-08,210,64,0.7664233576642335,0.03324826656394452,24,32,0.032563276026743075,903WE0900
1,2014-01-31,2016-01-05,2014-05-15,2014-02-28,2014-03-03,686,19,0.9730496453900709,0.5310306093793878,3,0,0.2919989709287368,905DGCC1x
2,2016-01-06,2016-12-16,2016-01-17,2016-01-31,2016-02-01,342,4,0.9884393063583815,1.6314199395770395,1,15,0.9836634936969385,905DGCC1x
3,2016-12-16,2017-12-21,2017-03-18,2017-02-28,2017-06-24,125,198,0.38699690402476783,0.07780940364056066,116,98,0.008620689655172414,905DGCC1x
4,2017-12-21,2018-11-30,2018-02-15,2018-03-11,2018-03-28,241,104,0.6985507246376812,0.2535211267605634,17,41,0.05417757532650312,905DGCC1x
1,2013-12-13,2015-01-07,2014-03-02,2014-03-18,2014-05-19,228,163,0.5831202046035806,0.02480612509092703,62,78,0.01611521132211073,905SDBDN9
2,2015-01-07,2016-01-05,2015-03-09,2015-03-12,2015-05-27,224,140,0.6153846153846154,0.03385674541425,76,79,0.01275951231978833,905SDBDN9
2,2015-01-07,2016-01-05,2015-03-09,2015-03-14,2015-05-27,224,140,0.6153846153846154,0.03385674541425,74,79,0.013104364004106934,905SDBDN9
1,2015-03-19,2015-07-26,2015-05-03,2015-04-26,2015-06-21,9,121,0.06923076923076923,0.07180480585060074,56,49,0.017627274487030584,905WE0679
1,2016-01-07,2016-12-24,2016-01-27,2016-01-07,2016-03-13,313,40,0.886685552407932,0.32455315145813735,66,46,0.015151515151515152,909NP9DCC
1,2014-03-01,2015-07-19,2014-05-04,2014-03-01,2014-03-01,503,2,0.996039603960396,3.471428571428571,0,0,Inf,909NP9UNT
2,2015-07-19,2015-09-15,2015-07-19,2015-07-19,2015-07-19,58,1,0.9830508474576272,Inf,0,0,Inf,909NP9UNT
3,2015-09-15,2016-01-06,2015-09-15,2015-09-15,2015-09-15,113,1,0.9912280701754386,Inf,0,0,Inf,909NP9UNT
4,2016-01-06,2016-12-16,2016-01-26,2016-01-07,2016-03-21,277,69,0.8005780346820809,0.39830840755055175,74,55,0.013427506580833486,909NP9UNT
5,2016-12-16,2017-07-13,2017-03-21,2017-01-21,2017-06-21,24,160,0.13043478260869565,0.18284342821750238,151,92,0.006622516556291391,909NP9UNT
1,2015-02-25,2015-12-23,2015-04-21,2015-03-04,2015-06-18,185,117,0.6125827814569537,0.029350925252977025,106,58,0.007910680283884369,909S00282
2,2015-12-23,2016-12-24,2016-03-10,2016-01-07,2016-06-08,186,182,0.5054347826086957,0.04495419857096385,153,90,0.006416022066318882,909S00282
1,2014-03-01,2015-03-01,2014-03-07,2014-03-01,2014-03-03,361,5,0.9863387978142076,0.18717801946193469,2,0,0.48433098591549295,909SWCASR
2,2015-03-01,2015-05-15,2015-03-10,2015-03-02,2015-03-23,52,24,0.6842105263157895,0.035047078164698854,21,13,0.04420690811535882,909SWCASR
3,2015-05-15,2015-12-22,2015-05-15,2015-05-15,2015-05-16,219,3,0.9864864864864865,0.3870967741935484,1,1,0.8350352112676056,909SWCASR
4,2015-12-22,2016-12-16,2016-03-11,2016-01-07,2016-06-03,196,165,0.5429362880886427,0.025447447361244685,148,84,0.0067424819185382566,909SWCASR
5,2016-12-16,2017-09-25,2017-03-18,2017-01-23,2017-08-04,68,216,0.23943661971830985,0.07666973442019458,193,139,0.0051813471502590676,909SWCASR
1,2014-12-12,2015-12-22,2015-02-20,2015-03-03,2015-03-27,302,74,0.8031914893617021,0.12374025716129672,24,35,0.04118475682087782,911COPPER
1,2015-02-25,2015-12-20,2015-04-15,2015-03-02,2015-06-14,187,112,0.6254180602006689,0.08311245740249906,104,60,0.009509821920323113,911KCKCRX
2,2015-12-20,2016-08-02,2016-03-13,2016-01-06,2016-06-08,54,173,0.23788546255506607,0.07201163551085754,154,87,0.006493506493506494,911KCKCRX
1,2013-11-05,2014-11-27,2014-02-08,2014-04-14,2014-05-28,183,205,0.47164948453608246,0.03542210123914423,44,109,0.022600481805502726,911NP9ATC
2,2014-11-27,2015-11-16,2015-03-08,2015-05-15,2015-06-15,154,201,0.43380281690140843,0.08891477096816996,31,99,0.032213074189049354,911NP9ATC
1,2014-03-01,2014-12-17,2014-03-10,2014-03-02,2014-03-07,284,8,0.9726027397260274,0.10306183710226136,5,0,0.19611447670775015,911NP9EPC
3,2015-03-02,2015-09-15,2015-03-05,2015-03-02,2015-03-07,191,7,0.9646464646464646,0.1400267737617135,5,2,0.19252141215792773,911NP9EPC
3,2015-03-02,2015-09-15,2015-03-05,2015-03-02,2015-03-07,191,7,0.9646464646464646,0.1400267737617135,5,2,0.19252141215792773,911NP9EPC
